2276371,2022687,60843
2285094,2035324,61389
2291673,2042959,61602
2296323,2054340,61873
2302051,2069385,62409
2311297,2084989,63224
2321225,2098463,63858
2330414,2111060,64402
2336905,2121944,64831
2341744,2129318,65016
2346876,2137998,65288
2352766,2150082,65829
2362364,2162861,66427
2372209,2173359,66951
2381259,2183666,67500
2388421,2192105,67784
2394515,2198007,67900
2399499,2204602,68079
2405263,2213655,68525
2416037,2223438,68936
2426819,2232050,69327
2436488,2240601,69750
2444177,2248399,70019
2450295,2253561,70109
2455569,2260719,70266
2462061,2269193,70698
2472896,2278773,71073
2484306,2287851,71420
2493887,2296345,71693
2502163,2303837,71899
2508655,2308594,71956
2513784,2315310,72048
2520618,2323830,72347
2532855,2333198,72658
2546526,2341635,72968
2559296,2350379,73204
2569864,2357374,73369
2578842,2362709,73425
2585385,2369762,73503
2594675,2378987,73785
2610769,2387743,74043
2628629,2397473,74271
2645199,2406586,74466
2658851,2414198,74657
2670001,2419448,74715
2678262,2428206,74824
2689205,2438550,75116
2709872,2450405,75341
2732130,2461363,75549
2754019,2473062,75735
2770696,2482934,75858
2784644,2489786,75927
2794949,2500249,75991
2808206,2492229,76229
2829221,2508446,76459
2853331,2524148,76681
2871724,2538792,76871
2886029,2551307,76959
2896105,2560710,77022
2903036,2568297,77070
2909902,2579613,77245
2927572,2599867,77566
2951829,2619514,77895
2977299,2638138,78165
2996619,2653760,78346
3012158,2665058,78425
3024604,2674465,78572
3040356,2687446,78924
3067697,2710149,79234
3095016,2730818,79520
3120037,2748243,79762
3139683,2760871,79910
3155522,2770905,79979
3161645,2777928,80153
3182951,2786438,80469
3227396,2806868,80794
3238127,2831274,81030
3263415,2854358,81326
3276871,2871792,81542
3298608,2885030,81625
3312653,2896887,81786
3324973,2915167,82116
3351014,2943152,82395
3376918,2967907,82657
3393721,2990536,82948
3410821,3008262,83111
3425865,3020424,83215
3438186,3028186,83362
3450663,3049257,83711
3471616,3076510,83981
3491098,3103366,84239
3507730,3126842,84498
3520392,3144953,84668
3530887,3157277,84796
3538208,3170136,84907
3547922,3189624,85206
3564494,3216156,85451
3578125,3239338,85719
3588471,3259154,85909
3595872,3275999,86037
3602939,3285812,86116
3608320,3297072,86212
3615896,3312392,86514
3627777,3335541,86749
3638504,3355634,86999
3646600,3372781,87202
3653019,3386474,87320
3657662,3397225,87395
3659990,3405665,87432
3662568,3417594,87528
3667041,3436452,87797
3673969,3450754,88043
3680159,3462622,88246
3684660,3471692,88379
3687715,3479126,88431
3689921,3485801,88492
3692908,3494342,88677
3698004,3508051,88852
3701692,3520228,88965
3704685,3529744,89082
3706934,3537291,89203
3708779,3543073,89234
3710342,3546329,89305
3712595,3550278,89434
3715870,3557242,89522
3718617,3565169,89632
3720811,3572094,89728
3722295,3577080,89822
3723295,3580921,89839
3724168,3583476,89885
3725328,3587494,90012
3726767,3593842,90117
3727668,3598847,90207
3728601,3602737,90331
3729597,3605773,90378
3730126,3608164,90392
3730619,3609855,90417
3731304,3612085,90505
3732439,3615554,90550
3732914,3619038,90650
3733665,3621957,90724
3734153,3624011,90757
3734489,3625414,90765
3734830,3626472,90787
3735399,3628002,90842
3736205,3630104,90911
3736959,3631512,90960
3737630,3632798,91020
3738059,3634029,91036
3738470,3634818,91039
3738862,3635518,91045
3739575,3636482,91080
3740567,3637996,91129
3741470,3638883,91172
3742355,3639890,91204
3743164,3640550,91232
3743732,3641011,91239
3744285,3641454,91244
3745312,3642110,91275
3746935,3643015,91302
3748379,3643769,91332
3749944,3644472,91352
3751253,3645000,91366
3752236,3645432,91369
3753224,3645831,91382
3754846,3646507,91414
3756497,3647506,91436
3758435,3648281,91477
3760291,3649103,91514
3761869,3649835,91527
3763018,3650353,91531
3764441,3650854,91540
3766501,3651754,91576
3769552,3653187,91602
3772326,3654473,91622
3774918,3655835,91647
3776724,3656950,91664
3778277,3657818,91665
3779796,3658680,91672
3782344,3660095,91697
3786003,3661588,91723
3789460,3663301,91741
3792848,3664922,91782
3795609,3666342,91786
3797849,3667372,91789
3800069,3668616,91793
3803351,3670451,91812
3808838,3673200,91828
3814335,3675693,91844
3819871,3678058,91866
3824546,3679758,91871
