Brandenburg.3482.3300.173
Berlin.8655.8036.219
Baden-Württemberg.36121.33643.1838
Bayern.49273.45700.2612
Bremen.1694.1608.55
Hessen.11169.10200.514
Hamburg.5231.4900.261
Mecklenburg-Vorpommern.804.782.20
Niedersachsen.13806.12800.644
Nordrhein-Westfalen.44974.41100.1705
Rheinland-Pfalz.7174.6717.236
Schleswig-Holstein.3221.3000.154
Saarland.2812.2590.174
Sachsen.5473.5215.225
Sachsen-Anhalt.1921.1807.62
Thüringen.3292.3090.182
