Baden-Württemberg.454.2.1
Bayern.500.14.1
Berlin.137.0.0
Brandenburg.30.0.0
Bremen.38.1.0
Hamburg.88.0.0
Hessen.99.0.0
Mecklenburg-Vorpommern.23.0.0
Niedersachsen.129.1.0
Nordrhein-Westfalen.1041.6.4
Rheinland-Pfalz.52.1.0
Saarland.29.0.0
Sachsen.49.0.0
Sachsen-Anhalt.27.0.0
Schleswig-Holstein.31.0.0
Thüringen.18.0.0
